Unnamed: 0,print_log,optimization_dict,use_strength,strength,datetime_from,datetime_before,one_lot_size,fast_ma_period,slow_ma_period,drawdown_len,drawdown_drawdown,drawdown_moneydown,drawdown_max_len,drawdown_max_drawdown,drawdown_max_moneydown,returns_rtot,returns_ravg,returns_rnorm,returns_rnorm100,sharperatio_sharperatio,cluster
14,False,"{'use_strength': True, 'strength': 0.0004, 'fast_ma_period': 1, 'slow_ma_period': 3}",True,0.0004,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,3,6111,9.674613314486097,19574.5,6111.0,9.960534477347482,20153.0,-0.0901763803327863,-1.4451343002049096e-05,-1.445123858189482e-05,-0.0014451238581894,None,0
15,False,"{'use_strength': True, 'strength': 0.0005, 'fast_ma_period': 1, 'slow_ma_period': 3}",True,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,3,6111,9.92978391822037,20102.5,6111.0,10.207882082426716,20665.5,-0.0924223535912001,-1.4811274613974382e-05,-1.4811164927588069e-05,-0.0014811164927588,None,0
16,False,"{'use_strength': True, 'strength': 0.0006000000000000001, 'fast_ma_period': 1, 'slow_ma_period': 3}",True,0.0006,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,3,6111,7.933735878553707,16036.5,6111.0,8.21226880653835,16599.5,-0.072065444150365,-1.1548949383071316e-05,-1.154888269421212e-05,-0.0011548882694212,None,0
17,False,"{'use_strength': True, 'strength': 0.0007, 'fast_ma_period': 1, 'slow_ma_period': 3}",True,0.0007,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,3,6123,8.091276503139962,16266.5,6123.0,8.091276503139962,16266.5,-0.0792001460616162,-1.2692331099617983e-05,-1.2692250552324388e-05,-0.0012692250552324,None,0
18,False,"{'use_strength': True, 'strength': 0.0008, 'fast_ma_period': 1, 'slow_ma_period': 3}",True,0.0008,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,3,6123,6.485416588863577,13024.5,6123.0,6.485416588863577,13024.5,-0.0629238254605695,-1.0083946387911789e-05,-1.008389554509531e-05,-0.0010083895545095,None,1
19,False,"{'use_strength': True, 'strength': 0.0009000000000000001, 'fast_ma_period': 1, 'slow_ma_period': 3}",True,0.0009,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,3,6123,5.026887540157119,10100.5,6123.0,5.026887540157119,10100.5,-0.0469396274691498,-7.522376196979144e-06,-7.522347903978263e-06,-0.0007522347903978,None,1
20,False,"{'use_strength': False, 'strength': 0.0, 'fast_ma_period': 1, 'slow_ma_period': 4}",False,0.0,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,6155,14.925203456976822,30195.99999999994,6155.0,15.277623316058309,30908.99999999994,-0.1501283635318917,-2.4059032617290343e-05,-2.405874320108613e-05,-0.0024058743201086,None,0
21,False,"{'use_strength': True, 'strength': 0.0001, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0001,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,6155,15.41997523669711,31196.99999999994,6155.0,15.772395095778595,31909.99999999994,-0.1559610675907069,-2.4993760831844056e-05,-2.4993448490406e-05,-0.0024993448490405,None,0
22,False,"{'use_strength': True, 'strength': 0.0002, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0002,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,6155,14.556563288277689,29459.49999999994,6155.0,14.84241239848895,30037.99999999994,-0.1454883067486053,-2.3315433773814963e-05,-2.3315161971201337e-05,-0.0023315161971201,None,0
23,False,"{'use_strength': True, 'strength': 0.00030000000000000003, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0003,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,6166,12.798906911404748,25806.49999999994,6166.0,13.085817869816298,26384.99999999994,-0.1288338718434684,-2.0646453821068658e-05,-2.0646240684507804e-05,-0.0020646240684507,None,0
