Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.89963,1.90134,1.89711,1.90108,5416.730019450188
2021-01-04 00:00:00,1.90092,1.90384,1.88743,1.89047,208125.6099613905
2021-01-05 00:00:00,1.89029,1.89145,1.87635,1.87846,192806.59000229836
2021-01-06 00:00:00,1.87821,1.87902,1.8632,1.86485,226155.68976175785
2021-01-07 00:00:00,1.86485,1.87831,1.8626,1.86745,182883.79991477728
2021-01-08 00:00:00,1.86734,1.88001,1.86639,1.87261,193240.360080719
2021-01-10 00:00:00,1.87261,1.87744,1.87261,1.87735,5896.710006594658
2021-01-11 00:00:00,1.87722,1.88682,1.87357,1.885,186601.48012256622
2021-01-12 00:00:00,1.88489,1.89904,1.88388,1.89067,164908.41010689735
2021-01-13 00:00:00,1.89044,1.90592,1.88953,1.89789,191930.45000705123
2021-01-14 00:00:00,1.89784,1.90112,1.89071,1.89582,168225.3500739336
2021-01-15 00:00:00,1.89571,1.90762,1.89441,1.90446,185452.47997272015
2021-01-17 00:00:00,1.90446,1.90662,1.90142,1.90638,3793.1199955940247
2021-01-18 00:00:00,1.90643,1.91102,1.90304,1.90875,125432.2598758936
2021-01-19 00:00:00,1.90872,1.91683,1.90517,1.91382,167196.989913702
2021-01-20 00:00:00,1.91358,1.92089,1.90006,1.90218,170968.47017788887
2021-01-21 00:00:00,1.90207,1.9097,1.89741,1.9028,153817.56996443868
2021-01-22 00:00:00,1.90276,1.90723,1.89953,1.90465,129396.59015774727
2021-01-24 00:00:00,1.90465,1.90709,1.90465,1.90584,7391.520024061203
2021-01-25 00:00:00,1.90574,1.90575,1.89551,1.89941,152363.55997931957
2021-01-26 00:00:00,1.8994,1.9016,1.89211,1.89852,143818.39003914595
2021-01-27 00:00:00,1.89812,1.91472,1.89726,1.91417,207111.56992268562
2021-01-28 00:00:00,1.91394,1.91971,1.9094,1.91316,205981.67003297806
2021-01-29 00:00:00,1.91304,1.91578,1.90003,1.90602,235122.80997657776
2021-01-31 00:00:00,1.90602,1.91518,1.90602,1.91225,8982.85003399849
2021-02-01 00:00:00,1.9117,1.91261,1.90501,1.90871,213197.7299363613
2021-02-02 00:00:00,1.90864,1.91133,1.89591,1.89876,174141.11987805367
2021-02-03 00:00:00,1.89871,1.89921,1.8898,1.89003,166708.63972771168
2021-02-04 00:00:00,1.88984,1.91103,1.88601,1.90992,161450.76982450485
2021-02-05 00:00:00,1.90973,1.91741,1.90505,1.90624,134693.90009260178
2021-02-07 00:00:00,1.90624,1.90831,1.90451,1.90502,8895.979999542236
2021-02-08 00:00:00,1.90494,1.9078,1.90049,1.90186,129539.4300789237
2021-02-09 00:00:00,1.90179,1.9093,1.89931,1.9078,151370.2700536251
2021-02-10 00:00:00,1.90782,1.92221,1.90755,1.91602,148445.61988830566
2021-02-11 00:00:00,1.91597,1.91943,1.90723,1.91002,120725.5399531126
2021-02-12 00:00:00,1.90981,1.92411,1.90909,1.91781,106410.32010608912
2021-02-14 00:00:00,1.91781,1.92142,1.91781,1.92139,7297.479967594147
2021-02-15 00:00:00,1.92126,1.92634,1.91718,1.92368,89856.4098584652
2021-02-16 00:00:00,1.92361,1.93317,1.91639,1.93193,171906.15994799137
2021-02-17 00:00:00,1.93152,1.93412,1.92491,1.92748,161473.57994782925
2021-02-18 00:00:00,1.92753,1.94116,1.92545,1.93494,157934.06988608837
2021-02-19 00:00:00,1.93483,1.93765,1.91663,1.91793,140302.11978697777
2021-02-21 00:00:00,1.91793,1.92102,1.91724,1.91934,9746.550027906895
2021-02-22 00:00:00,1.91932,1.92173,1.91451,1.92,152182.89992117882
2021-02-23 00:00:00,1.91962,1.92736,1.91926,1.92401,149552.2497819662
2021-02-24 00:00:00,1.92401,1.92976,1.89608,1.90072,186358.84966731071
2021-02-25 00:00:00,1.90072,1.90567,1.89549,1.90217,240957.59002161026
2021-02-26 00:00:00,1.90199,1.92855,1.89353,1.92441,326531.0994758606
