Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,141.168,141.3,140.73,141.264,7487.149985909462
2021-01-04 00:00:00,141.247,141.218,139.687,139.958,235561.329944849
2021-01-05 00:00:00,139.956,140.139,139.508,139.934,220940.00997757912
2021-01-06 00:00:00,139.924,140.564,139.752,140.363,294138.1393942833
2021-01-07 00:00:00,140.349,140.98,140.103,140.846,242264.41006982327
2021-01-08 00:00:00,140.839,141.339,140.733,140.928,251793.27006435394
2021-01-10 00:00:00,140.928,140.928,140.619,140.709,6751.099951267242
2021-01-11 00:00:00,140.7,140.924,140.334,140.83,212168.13020586967
2021-01-12 00:00:00,140.821,142.017,140.745,141.808,202737.42976808548
2021-01-13 00:00:00,141.783,142.235,141.522,141.702,191372.8000499606
2021-01-14 00:00:00,141.692,142.23,141.625,142.078,202902.78029322624
2021-01-15 00:00:00,142.074,142.1,140.954,141.041,181508.7699766159
2021-01-17 00:00:00,141.041,141.19,140.966,141.039,7899.160042822361
2021-01-18 00:00:00,141.014,141.077,140.354,140.852,171540.43997955322
2021-01-19 00:00:00,140.853,141.768,140.829,141.759,154875.89981532097
2021-01-20 00:00:00,141.756,142.314,141.082,141.526,166031.27017617226
2021-01-21 00:00:00,141.524,142.209,141.423,142.102,163074.85971093178
2021-01-22 00:00:00,142.095,142.191,141.508,141.928,138814.66023635864
2021-01-24 00:00:00,141.928,142.079,141.886,142.045,7616.320006132126
2021-01-25 00:00:00,142.035,142.302,141.65,141.908,166035.52998948097
2021-01-26 00:00:00,141.906,142.432,141.277,142.354,158769.0997350514
2021-01-27 00:00:00,142.354,142.8,142.195,142.373,186528.43979632854
2021-01-28 00:00:00,142.362,143.258,142.186,143.16,195274.90968957543
2021-01-29 00:00:00,143.146,143.946,142.991,143.423,206851.75024414062
2021-01-31 00:00:00,143.423,143.622,143.374,143.434,11802.779950141907
2021-02-01 00:00:00,143.434,144.09,143.319,143.432,151848.5899221301
2021-02-02 00:00:00,143.428,143.759,143.127,143.464,147618.83018493652
2021-02-03 00:00:00,143.454,143.666,143.108,143.314,130020.43996581435
2021-02-04 00:00:00,143.313,144.388,142.834,144.366,147492.37996807694
2021-02-05 00:00:00,144.341,144.871,144.25,144.66,131909.0101158619
2021-02-07 00:00:00,144.66,144.805,144.438,144.789,14979.809992313385
2021-02-08 00:00:00,144.789,144.921,144.406,144.62,120139.12002754211
2021-02-09 00:00:00,144.615,144.656,144.032,144.486,131646.68009400368
2021-02-10 00:00:00,144.485,145.059,144.365,144.696,137862.45015740395
2021-02-11 00:00:00,144.688,144.893,144.571,144.683,106901.2200729847
2021-02-12 00:00:00,144.668,145.472,144.494,145.335,108318.42997324467
2021-02-14 00:00:00,145.335,145.733,145.263,145.721,23443.78009402752
2021-02-15 00:00:00,145.714,146.642,145.643,146.616,98649.17994952202
2021-02-16 00:00:00,146.609,147.553,146.517,147.367,156702.9501707554
2021-02-17 00:00:00,147.333,147.314,146.415,146.784,148007.37020003796
2021-02-18 00:00:00,146.771,147.761,146.547,147.568,128663.87975388765
2021-02-19 00:00:00,147.566,148.137,147.281,147.616,108975.71998977661
2021-02-21 00:00:00,147.616,148.05,147.616,148.051,15534.359977960587
2021-02-22 00:00:00,148.034,148.279,147.541,147.735,124650.1799453497
2021-02-23 00:00:00,147.717,148.666,147.659,148.669,121472.57997226715
2021-02-24 00:00:00,148.667,149.946,148.64,149.892,158272.81988573074
2021-02-25 00:00:00,149.883,150.431,148.476,149.004,202655.73995256424
2021-02-26 00:00:00,148.982,149.069,147.399,148.284,230914.63005447388
2021-02-28 00:00:00,148.284,148.866,148.28,148.792,13647.960059165955
2021-03-01 00:00:00,148.791,149.289,148.335,148.823,150262.82996821404
2021-03-02 00:00:00,148.818,149.186,148.111,148.967,154106.9799644947
2021-03-03 00:00:00,148.967,149.693,148.882,149.089,169206.62993705273
2021-03-04 00:00:00,149.049,150.672,149.041,149.985,228359.31000888348
2021-03-05 00:00:00,149.972,150.364,149.353,149.908,230929.81986808777
2021-03-07 00:00:00,149.908,150.34,149.419,150.172,14866.76001739502
2021-03-08 00:00:00,150.147,150.684,149.679,150.572,203380.98976540565
2021-03-09 00:00:00,150.557,151.268,150.489,150.794,212854.3100824356
2021-03-10 00:00:00,150.775,151.164,150.64,151.07,183703.2401239872
2021-03-11 00:00:00,151.069,151.876,150.968,151.879,176722.62023353577
2021-03-12 00:00:00,151.865,152.225,151.226,151.706,175190.98995018005
2021-03-14 00:00:00,151.706,152.015,151.511,151.992,10585.019999742508
2021-03-15 00:00:00,151.991,152.094,151.198,151.667,162498.3799394369
2021-03-16 00:00:00,151.664,151.734,150.785,151.575,155962.13997614384
