Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.73964,1.74091,1.73514,1.7408,6461.599983841181
2021-01-04 00:00:00,1.74055,1.74079,1.72453,1.73439,215357.7699432373
2021-01-05 00:00:00,1.73435,1.73504,1.72467,1.72735,192410.68979126215
2021-01-06 00:00:00,1.72721,1.73096,1.71944,1.72529,257753.07986617088
2021-01-07 00:00:00,1.7253,1.72996,1.71869,1.72102,185739.18976825476
2021-01-08 00:00:00,1.72104,1.72683,1.7187,1.72028,215044.94024658203
2021-01-10 00:00:00,1.72028,1.72165,1.7189,1.72057,6743.480020046234
2021-01-11 00:00:00,1.72035,1.72933,1.71998,1.72728,209355.7602698803
2021-01-12 00:00:00,1.72725,1.73973,1.7265,1.7368,191415.40006303787
2021-01-13 00:00:00,1.73653,1.74323,1.72836,1.73271,209164.70004451275
2021-01-14 00:00:00,1.73265,1.73381,1.72734,1.73044,187132.30992984772
2021-01-15 00:00:00,1.73038,1.73375,1.72733,1.72939,198839.9299402237
2021-01-17 00:00:00,1.72939,1.73301,1.72841,1.73301,7606.739956140518
2021-01-18 00:00:00,1.73301,1.73467,1.72938,1.73151,177683.50998401642
2021-01-19 00:00:00,1.73153,1.73715,1.7299,1.73568,166612.51992440224
2021-01-20 00:00:00,1.73561,1.74144,1.71983,1.7258,182423.37008988857
2021-01-21 00:00:00,1.72574,1.73636,1.72418,1.73637,156295.41995203495
2021-01-22 00:00:00,1.73634,1.7427,1.73216,1.74149,133192.06008899212
2021-01-24 00:00:00,1.74149,1.74203,1.73869,1.74155,12088.100045323372
2021-01-25 00:00:00,1.74148,1.74406,1.73683,1.74195,163812.51000094414
2021-01-26 00:00:00,1.74193,1.74631,1.73802,1.74401,151679.3999695778
2021-01-27 00:00:00,1.74398,1.75386,1.74362,1.75215,213609.5697581768
2021-01-28 00:00:00,1.75214,1.7612,1.75134,1.76094,204537.0500164032
2021-01-29 00:00:00,1.76072,1.76396,1.74778,1.74967,247019.33981657028
2021-01-31 00:00:00,1.74967,1.75549,1.74967,1.75347,12969.740053653717
2021-02-01 00:00:00,1.75321,1.75728,1.75035,1.7571,221645.95999455452
2021-02-02 00:00:00,1.75709,1.75724,1.74554,1.74642,189425.45993757248
2021-02-03 00:00:00,1.74645,1.74799,1.74162,1.74491,179196.43017840385
