Datetime,Open,High,Low,Close,Volume(Millions)
2021-01-03 00:00:00,1.20913,1.20913,1.20472,1.20835,4862.430035308003
2021-01-04 00:00:00,1.20817,1.21086,1.19303,1.19588,142970.13005763292
2021-01-05 00:00:00,1.19587,1.19795,1.1921,1.19675,140239.54015094042
2021-01-06 00:00:00,1.19665,1.19861,1.19162,1.19628,189379.85986721516
2021-01-07 00:00:00,1.19626,1.20179,1.19337,1.20106,149818.5399557948
2021-01-08 00:00:00,1.20103,1.2056,1.19926,1.19993,156141.98014497757
2021-01-10 00:00:00,1.19993,1.2004,1.19828,1.19982,3857.049992352724
2021-01-11 00:00:00,1.19979,1.20351,1.19679,1.20307,130726.73998171091
2021-01-12 00:00:00,1.203,1.21309,1.203,1.21114,126416.18992614746
2021-01-13 00:00:00,1.21097,1.21637,1.20903,1.21069,118759.29988309741
2021-01-14 00:00:00,1.21066,1.21601,1.2095,1.21546,130410.55011206865
2021-01-15 00:00:00,1.21549,1.21608,1.20786,1.21031,110249.29993700981
2021-01-17 00:00:00,1.21031,1.21138,1.20926,1.2112,4306.059972733259
2021-01-18 00:00:00,1.21111,1.21117,1.20535,1.21002,102179.0799286142
2021-01-19 00:00:00,1.21002,1.21242,1.2068,1.21164,108702.36006474495
2021-01-20 00:00:00,1.21163,1.21942,1.21078,1.21543,115659.48997449875
2021-01-21 00:00:00,1.2154,1.21944,1.21382,1.21546,118168.45991539955
2021-01-22 00:00:00,1.21542,1.21556,1.20754,1.21059,103872.94987404346
2021-01-24 00:00:00,1.21059,1.21212,1.21055,1.21191,5721.139991521835
2021-01-25 00:00:00,1.21191,1.21511,1.21139,1.21448,116478.99010074139
2021-01-26 00:00:00,1.21449,1.21972,1.21035,1.21825,111907.68012464046
2021-01-27 00:00:00,1.21825,1.22037,1.21531,1.21561,152815.01015090942
2021-01-28 00:00:00,1.21556,1.21999,1.2122,1.21956,147245.41021943092
2021-01-29 00:00:00,1.2195,1.22241,1.2149,1.21988,160367.45005893707
2021-01-31 00:00:00,1.21988,1.22154,1.2188,1.22105,5090.07003736496
2021-02-01 00:00:00,1.22102,1.22917,1.22084,1.22606,131508.08009028435
2021-02-02 00:00:00,1.22605,1.22841,1.22377,1.22654,125967.35990345478
2021-02-03 00:00:00,1.22647,1.22884,1.22483,1.22629,111302.95002174377
2021-02-04 00:00:00,1.22629,1.23642,1.22347,1.23622,120515.99021458626
2021-02-05 00:00:00,1.23598,1.23715,1.23328,1.23409,107506.68991565704
2021-02-07 00:00:00,1.23409,1.23511,1.23301,1.23509,8060.389992713928
2021-02-08 00:00:00,1.23505,1.23624,1.23216,1.23519,98353.58997797966
2021-02-09 00:00:00,1.23518,1.23565,1.22945,1.23309,107402.92999613285
2021-02-10 00:00:00,1.23313,1.23412,1.23026,1.23125,111366.81000781059
2021-02-11 00:00:00,1.23123,1.23273,1.22834,1.22938,81227.13987898827
2021-02-12 00:00:00,1.22928,1.23601,1.22778,1.23449,85394.92991793156
2021-02-14 00:00:00,1.23449,1.23695,1.23263,1.23697,7400.900044560432
2021-02-15 00:00:00,1.23695,1.23955,1.2368,1.23818,72821.0000011921
2021-02-16 00:00:00,1.23817,1.24178,1.23554,1.24074,118413.18984222412
2021-02-17 00:00:00,1.24069,1.24629,1.23883,1.24591,121518.48004889488
2021-02-18 00:00:00,1.24589,1.25303,1.24444,1.25151,110561.90012705326
2021-02-19 00:00:00,1.25147,1.25742,1.24981,1.25494,95456.17992520332
2021-02-21 00:00:00,1.25494,1.25815,1.2545,1.2581,13683.769983410835
2021-02-22 00:00:00,1.25802,1.26273,1.25631,1.2603,111835.09016239643
2021-02-23 00:00:00,1.26018,1.27822,1.25956,1.27823,116155.66011023521
2021-02-24 00:00:00,1.2782,1.28893,1.27801,1.28267,138027.97996640205
2021-02-25 00:00:00,1.28265,1.28562,1.26585,1.26852,175720.66011932492
2021-02-26 00:00:00,1.2683,1.26965,1.25753,1.26446,196274.26009464264
2021-02-28 00:00:00,1.26446,1.26866,1.26338,1.26787,7177.459972381592
2021-03-01 00:00:00,1.26784,1.27716,1.26776,1.27444,136547.2301596403
2021-03-02 00:00:00,1.27443,1.27906,1.26991,1.27702,137557.6499093771
2021-03-03 00:00:00,1.27692,1.28435,1.27563,1.28108,140966.4199256897
2021-03-04 00:00:00,1.28076,1.29652,1.28075,1.2911,178446.68994951248
2021-03-05 00:00:00,1.29106,1.29147,1.27972,1.2874,169454.66012239456
2021-03-07 00:00:00,1.2874,1.28934,1.28296,1.2885,8518.529985457659
2021-03-08 00:00:00,1.28827,1.2948,1.28662,1.29392,141420.86002457142
2021-03-09 00:00:00,1.29386,1.29864,1.28748,1.28903,144927.60011458397
2021-03-10 00:00:00,1.28896,1.29583,1.28828,1.29532,127182.58993026614
2021-03-11 00:00:00,1.29535,1.29713,1.28895,1.29359,114294.53005945683
2021-03-12 00:00:00,1.29351,1.29808,1.29021,1.29329,112766.52006959915
2021-03-14 00:00:00,1.29329,1.29464,1.29065,1.29464,8692.29998728633
2021-03-15 00:00:00,1.29462,1.29692,1.28664,1.28933,117232.78012961149
2021-03-16 00:00:00,1.28931,1.2893,1.27882,1.28591,103572.56989336014
2021-03-17 00:00:00,1.2859,1.29166,1.2834,1.2888,114002.74009400606
2021-03-18 00:00:00,1.28879,1.29571,1.28747,1.29123,139648.75995969772
2021-03-19 00:00:00,1.29115,1.29457,1.28708,1.2875,114435.8799533844
2021-03-21 00:00:00,1.2875,1.28851,1.28586,1.28651,4234.899999141693
2021-03-22 00:00:00,1.28648,1.28915,1.27722,1.27984,95708.3199892044
2021-03-23 00:00:00,1.27972,1.28766,1.27777,1.28323,107823.93996196985
2021-03-24 00:00:00,1.28313,1.28497,1.27978,1.28124,99265.44006502628
2021-03-25 00:00:00,1.28118,1.29171,1.27975,1.29169,104076.07993102074
2021-03-26 00:00:00,1.29155,1.29847,1.29131,1.29466,80363.20006847382
2021-03-28 00:00:00,1.29466,1.29579,1.29282,1.29575,2514.2800108790398
2021-03-29 00:00:00,1.29568,1.30142,1.29075,1.29353,91413.52994251251
2021-03-30 00:00:00,1.29338,1.298,1.2917,1.29462,97326.96000230312
2021-03-31 00:00:00,1.29457,1.30356,1.2941,1.30121,120029.49990195036
2021-04-01 00:00:00,1.30118,1.30622,1.29975,1.30328,116538.82975921035
2021-04-02 00:00:00,1.30329,1.30413,1.30035,1.30168,77266.85999375582
2021-04-04 00:00:00,1.30168,1.30366,1.30142,1.30299,3923.1799993515015
2021-04-05 00:00:00,1.30288,1.30728,1.29992,1.30224,63544.23996818066
2021-04-06 00:00:00,1.30219,1.30443,1.28572,1.28735,95270.35992830992
2021-04-07 00:00:00,1.28734,1.28821,1.27429,1.27714,102968.86008101702
2021-04-08 00:00:00,1.27714,1.27951,1.26809,1.26924,83906.46999049187
2021-04-09 00:00:00,1.2692,1.27314,1.26418,1.2664,89754.72005414963
2021-04-11 00:00:00,1.2664,1.26886,1.26572,1.26895,3301.710007071495
2021-04-12 00:00:00,1.26887,1.27197,1.26571,1.26859,89551.26997846365
2021-04-13 00:00:00,1.26856,1.27423,1.26269,1.26625,100400.03999602795
2021-04-14 00:00:00,1.2662,1.27329,1.26523,1.27138,92751.01004311442
2021-04-15 00:00:00,1.27128,1.27487,1.26933,1.27075,95165.6201993227
2021-04-16 00:00:00,1.27074,1.27336,1.2624,1.27336,96747.05011224747
2021-04-18 00:00:00,1.27336,1.27354,1.26924,1.27203,2921.6500042676926
2021-04-19 00:00:00,1.27201,1.28107,1.26823,1.28013,113006.20002669096
2021-04-20 00:00:00,1.28009,1.2816,1.2743,1.27676,103649.34001427889
2021-04-21 00:00:00,1.27673,1.27974,1.27526,1.27709,91808.77998119593
2021-04-22 00:00:00,1.27702,1.2775,1.26684,1.26922,102213.46003511548
2021-04-23 00:00:00,1.26919,1.27307,1.26652,1.2676,89007.89997625351
2021-04-25 00:00:00,1.2676,1.26808,1.26477,1.26725,2333.659999370575
2021-04-26 00:00:00,1.2672,1.27337,1.26708,1.27096,93778.09014034271
2021-04-27 00:00:00,1.27086,1.27358,1.26839,1.27087,88229.0299834013
2021-04-28 00:00:00,1.27078,1.27333,1.2653,1.26841,108971.06995683908
2021-04-29 00:00:00,1.26832,1.27245,1.26481,1.26795,103109.09998808056
2021-04-30 00:00:00,1.26794,1.26834,1.26057,1.26061,108141.45010006428
2021-05-02 00:00:00,1.26061,1.26173,1.25782,1.26147,1536.470002233982
2021-05-03 00:00:00,1.26156,1.26905,1.2611,1.26733,91834.35012358427
2021-05-04 00:00:00,1.26733,1.27128,1.26243,1.26881,120693.50988942385
2021-05-05 00:00:00,1.26875,1.27353,1.26804,1.27007,85776.16000252962
2021-05-06 00:00:00,1.26998,1.271,1.25923,1.26118,108941.13004338741
2021-05-07 00:00:00,1.26116,1.26491,1.25821,1.25904,117234.71987569332
2021-05-09 00:00:00,1.25904,1.26436,1.25904,1.26438,9017.680003404617
2021-05-10 00:00:00,1.26424,1.27382,1.26321,1.27255,119330.99011719227
2021-05-11 00:00:00,1.27251,1.27949,1.27121,1.27795,121041.85015130043
2021-05-12 00:00:00,1.27763,1.28181,1.27495,1.27807,145450.24013489485
2021-05-13 00:00:00,1.27804,1.27822,1.27075,1.2726,145890.78000319004
2021-05-14 00:00:00,1.27254,1.27407,1.26806,1.27015,101483.44008052349
2021-05-16 00:00:00,1.27015,1.27153,1.26993,1.27109,2032.0599897503853
2021-05-17 00:00:00,1.27106,1.27804,1.26899,1.27806,103443.76994490623
2021-05-18 00:00:00,1.27806,1.27892,1.27144,1.27347,106240.35997146368
2021-05-19 00:00:00,1.27336,1.27813,1.27253,1.27546,138463.59007751942
2021-05-20 00:00:00,1.27533,1.27713,1.27126,1.27319,114179.1901923418
2021-05-21 00:00:00,1.27311,1.27615,1.26947,1.26982,108892.30006492138
2021-05-23 00:00:00,1.26982,1.27101,1.26892,1.26906,3320.989983320236
2021-05-24 00:00:00,1.26901,1.27215,1.26718,1.26977,97204.47011768818
2021-05-25 00:00:00,1.26973,1.27153,1.26462,1.26673,120810.79011583328
2021-05-26 00:00:00,1.26663,1.26978,1.26493,1.26721,107020.11986680329
2021-05-27 00:00:00,1.26716,1.27617,1.26539,1.27409,119560.79008054733
2021-05-28 00:00:00,1.27408,1.278,1.27302,1.27656,125978.19011974335
2021-05-30 00:00:00,1.27656,1.27676,1.27414,1.27635,2781.7299886345863
2021-05-31 00:00:00,1.27626,1.27843,1.27469,1.27815,85910.82987391949
2021-06-01 00:00:00,1.27811,1.27975,1.26771,1.26986,115175.30007970333
2021-06-02 00:00:00,1.26982,1.27645,1.26784,1.27282,102741.22996878624
2021-06-03 00:00:00,1.27283,1.27694,1.27174,1.27462,122505.05994194746
2021-06-04 00:00:00,1.2746,1.27836,1.27245,1.27249,110410.49986040592
2021-06-06 00:00:00,1.27249,1.27378,1.2711,1.27382,3249.8999997377396
2021-06-07 00:00:00,1.27373,1.27512,1.27024,1.27259,93574.87986671925
2021-06-08 00:00:00,1.27253,1.27293,1.26536,1.26903,96527.79011505842
2021-06-09 00:00:00,1.26901,1.2718,1.26262,1.26412,88233.35999679565
2021-06-10 00:00:00,1.2641,1.26974,1.26125,1.26761,130015.45007646084
2021-06-11 00:00:00,1.26757,1.27004,1.26544,1.26664,108613.6600921154
2021-06-13 00:00:00,1.26664,1.26806,1.266,1.26751,2764.5900027751923
2021-06-14 00:00:00,1.26751,1.26991,1.2646,1.26891,92089.44994556904
2021-06-15 00:00:00,1.26889,1.27044,1.26305,1.26519,100621.06999719143
2021-06-16 00:00:00,1.26519,1.27143,1.26493,1.27116,130792.88021409512
2021-06-17 00:00:00,1.27114,1.27914,1.26946,1.27904,168313.56017541885
2021-06-18 00:00:00,1.27895,1.27977,1.27156,1.27301,160710.63991713524
2021-06-20 00:00:00,1.27301,1.27479,1.27132,1.27453,4990.560003519058
2021-06-21 00:00:00,1.27453,1.27978,1.27205,1.27914,153869.31996643543
2021-06-22 00:00:00,1.27908,1.28167,1.27517,1.28141,128181.02002084255
2021-06-23 00:00:00,1.28135,1.28427,1.27992,1.28245,117091.99008965492
2021-06-24 00:00:00,1.28243,1.28557,1.27616,1.27777,135902.6098806858
2021-06-25 00:00:00,1.27766,1.27849,1.2721,1.2721,104920.45999979973
2021-06-27 00:00:00,1.2721,1.27382,1.27189,1.27379,4557.279988884926
2021-06-28 00:00:00,1.27378,1.28015,1.27327,1.27622,103006.55004322529
